"Number","Experiment","Date","Day","Hour","Transfer","Strain","Media","Temperature","Treatment","Replicate","RF","Rfctrl","Rep","seqRep","lnRF","trDay"
1,"salinity",2015-01-21,0,0,1,"331","ASW","15","0",1,27912.59,14.73,"1","1",10.2363052623587,1
2,"salinity",2015-01-21,0,0,1,"332","ASW","15","0",1,21419.31,14.73,"1","1",9.9713601968028,1
3,"salinity",2015-01-21,0,0,1,"333","ASW","15","0",1,22305.42,14.73,"1","1",10.0119243814863,1
4,"salinity",2015-01-21,0,0,1,"1263","ASW","15","0",1,15630.75,14.73,"1","1",9.65605258938976,1
5,"salinity",2015-01-21,0,0,1,"331","ASW","15","2",1,25105.74,16.32,"1","1",10.1302015223137,1
6,"salinity",2015-01-21,0,0,1,"332","ASW","15","2",1,17633.74,16.32,"1","1",9.77664346425146,1
7,"salinity",2015-01-21,0,0,1,"333","ASW","15","2",1,19689.46,16.32,"1","1",9.88700953260331,1
8,"salinity",2015-01-21,0,0,1,"1263","ASW","15","2",1,10861.83,16.32,"1","1",9.29150644843467,1
9,"salinity",2015-01-21,0,0,1,"331","ASW","15","12",1,30337.85,15.25,"1","1",10.3196485880587,1
10,"salinity",2015-01-21,0,0,1,"332","ASW","15","12",1,14789.01,15.25,"1","1",9.60060791320244,1
11,"salinity",2015-01-21,0,0,1,"333","ASW","15","12",1,20117.36,15.25,"1","1",9.90858006366204,1
12,"salinity",2015-01-21,0,0,1,"1263","ASW","15","12",1,23169.66,15.25,"1","1",10.0499405381324,1
13,"salinity",2015-01-21,0,0,1,"331","ASW","15","24",1,26320.04,18.86,"1","1",10.1773690840795,1
14,"salinity",2015-01-21,0,0,1,"332","ASW","15","24",1,11770.5,18.86,"1","1",9.37174808430078,1
15,"salinity",2015-01-21,0,0,1,"333","ASW","15","24",1,18480.36,18.86,"1","1",9.82344276152709,1
16,"salinity",2015-01-21,0,0,1,"1263","ASW","15","24",1,18755.19,18.86,"1","1",9.83821969883354,1
17,"salinity",2015-01-21,0,0,1,"331","ASW","15","36",1,34146.46,18.82,"1","1",10.4378628921323,1
18,"salinity",2015-01-21,0,0,1,"332","ASW","15","36",1,20556.87,18.82,"1","1",9.93003454226691,1
19,"salinity",2015-01-21,0,0,1,"333","ASW","15","36",1,24519.88,18.82,"1","1",10.106471660903,1
20,"salinity",2015-01-21,0,0,1,"1263","ASW","15","36",1,12132.29,18.82,"1","1",9.40207333555192,1
1,"salinity",2015-01-22,1,24,1,"331","ASW","15","0",1,20492.58,14.84,"1","1",9.92709372150176,2
2,"salinity",2015-01-22,1,24,1,"332","ASW","15","0",1,9732.96,14.84,"1","1",9.18174746310941,2
3,"salinity",2015-01-22,1,24,1,"333","ASW","15","0",1,19824.39,14.84,"1","1",9.89391942363449,2
4,"salinity",2015-01-22,1,24,1,"1263","ASW","15","0",1,23696.5,14.84,"1","1",10.0724561878923,2
5,"salinity",2015-01-22,1,24,1,"331","ASW","15","2",1,19631.04,16.12,"1","1",9.88404578012399,2
6,"salinity",2015-01-22,1,24,1,"332","ASW","15","2",1,10532.37,16.12,"1","1",9.26067695886502,2
7,"salinity",2015-01-22,1,24,1,"333","ASW","15","2",1,21983.71,16.12,"1","1",9.99732346432303,2
8,"salinity",2015-01-22,1,24,1,"1263","ASW","15","2",1,20483.73,16.12,"1","1",9.92659891561017,2
9,"salinity",2015-01-22,1,24,1,"331","ASW","15","12",1,28450.56,16.49,"1","1",10.2553433530341,2
10,"salinity",2015-01-22,1,24,1,"332","ASW","15","12",1,21551.33,16.49,"1","1",9.97742736769511,2
11,"salinity",2015-01-22,1,24,1,"333","ASW","15","12",1,31680.77,16.49,"1","1",10.3629445106532,2
12,"salinity",2015-01-22,1,24,1,"1263","ASW","15","12",1,38750.57,16.49,"1","1",10.5644751116545,2
13,"salinity",2015-01-22,1,24,1,"331","ASW","15","24",1,25922.56,18.7,"1","1",10.1621472713321,2
14,"salinity",2015-01-22,1,24,1,"332","ASW","15","24",1,22144.44,18.7,"1","1",10.0044969156445,2
15,"salinity",2015-01-22,1,24,1,"333","ASW","15","24",1,34051.36,18.7,"1","1",10.435075930764,2
16,"salinity",2015-01-22,1,24,1,"1263","ASW","15","24",1,27578.9,18.7,"1","1",10.2241279819953,2
17,"salinity",2015-01-22,1,24,1,"331","ASW","15","36",1,38914.85,19.45,"1","1",10.5686312706862,2
18,"salinity",2015-01-22,1,24,1,"332","ASW","15","36",1,33049.87,19.45,"1","1",10.405184234017,2
19,"salinity",2015-01-22,1,24,1,"333","ASW","15","36",1,39561.71,19.45,"1","1",10.5851252524002,2
20,"salinity",2015-01-22,1,24,1,"1263","ASW","15","36",1,19722.67,19.45,"1","1",9.88853735314594,2
1,"salinity",2015-01-23,2,48,1,"331","ASW","15","0",1,24696.3,15.37,"1","1",10.1137861596432,3
2,"salinity",2015-01-23,2,48,1,"332","ASW","15","0",1,12454.17,15.37,"1","1",9.42857589861781,3
3,"salinity",2015-01-23,2,48,1,"333","ASW","15","0",1,28675.45,15.37,"1","1",10.2632604927251,3
4,"salinity",2015-01-23,2,48,1,"1263","ASW","15","0",1,33372.54,15.37,"1","1",10.4150280207399,3
5,"salinity",2015-01-23,2,48,1,"331","ASW","15","2",1,26270.92,15.95,"1","1",10.1756105834318,3
6,"salinity",2015-01-23,2,48,1,"332","ASW","15","2",1,16481.79,15.95,"1","1",9.70904321081857,3
7,"salinity",2015-01-23,2,48,1,"333","ASW","15","2",1,33868.5,15.95,"1","1",10.4297696078517,3
8,"salinity",2015-01-23,2,48,1,"1263","ASW","15","2",1,31882.98,15.95,"1","1",10.36932721198,3
9,"salinity",2015-01-23,2,48,1,"331","ASW","15","12",1,41965.39,15.57,"1","1",10.6442294210637,3
10,"salinity",2015-01-23,2,48,1,"332","ASW","15","12",1,35967.45,15.57,"1","1",10.4899366566358,3
11,"salinity",2015-01-23,2,48,1,"333","ASW","15","12",1,53614.24,15.57,"1","1",10.8892795333182,3
12,"salinity",2015-01-23,2,48,1,"1263","ASW","15","12",1,52838.21,15.57,"1","1",10.8746951656699,3
13,"salinity",2015-01-23,2,48,1,"331","ASW","15","24",1,47470.15,19.02,"1","1",10.7674556182961,3
14,"salinity",2015-01-23,2,48,1,"332","ASW","15","24",1,43950.19,19.02,"1","1",10.6903793698954,3
15,"salinity",2015-01-23,2,48,1,"333","ASW","15","24",1,60342.68,19.02,"1","1",11.0074796772337,3
16,"salinity",2015-01-23,2,48,1,"1263","ASW","15","24",1,46758,19.02,"1","1",10.7523337850049,3
17,"salinity",2015-01-23,2,48,1,"331","ASW","15","36",1,50836.64,20.32,"1","1",10.8359728418162,3
18,"salinity",2015-01-23,2,48,1,"332","ASW","15","36",1,43563.8,20.32,"1","1",10.6815152580989,3
19,"salinity",2015-01-23,2,48,1,"333","ASW","15","36",1,39477.6,20.32,"1","1",10.5829738466382,3
20,"salinity",2015-01-23,2,48,1,"1263","ASW","15","36",1,34076.23,20.32,"1","1",10.4357588647984,3
1,"salinity",2015-01-24,3,72,1,"331","ASW","15","0",1,32676.07,16.46,"1","1",10.3938944252407,4
2,"salinity",2015-01-24,3,72,1,"332","ASW","15","0",1,15665.84,16.46,"1","1",9.65818657857012,4
3,"salinity",2015-01-24,3,72,1,"333","ASW","15","0",1,31832.28,16.46,"1","1",10.3677189293407,4
4,"salinity",2015-01-24,3,72,1,"1263","ASW","15","0",1,32890.78,16.46,"1","1",10.4004470848555,4
5,"salinity",2015-01-24,3,72,1,"331","ASW","15","2",1,30491.4,15.95,"1","1",10.3246767204423,4
6,"salinity",2015-01-24,3,72,1,"332","ASW","15","2",1,17663.37,15.95,"1","1",9.77834487603935,4
7,"salinity",2015-01-24,3,72,1,"333","ASW","15","2",1,39443.62,15.95,"1","1",10.5822231330638,4
8,"salinity",2015-01-24,3,72,1,"1263","ASW","15","2",1,34457.81,15.95,"1","1",10.447027964052,4
9,"salinity",2015-01-24,3,72,1,"331","ASW","15","12",1,49764.04,16.67,"1","1",10.8147128768678,4
10,"salinity",2015-01-24,3,72,1,"332","ASW","15","12",1,36958.88,16.67,"1","1",10.5171100787098,4
11,"salinity",2015-01-24,3,72,1,"333","ASW","15","12",1,55549.93,16.67,"1","1",10.9247373995177,4
12,"salinity",2015-01-24,3,72,1,"1263","ASW","15","12",1,65186.22,16.67,"1","1",11.0847476142849,4
13,"salinity",2015-01-24,3,72,1,"331","ASW","15","24",1,51249.14,19.09,"1","1",10.8440815529234,4
14,"salinity",2015-01-24,3,72,1,"332","ASW","15","24",1,43970.53,19.09,"1","1",10.6908406670817,4
15,"salinity",2015-01-24,3,72,1,"333","ASW","15","24",1,64819.43,19.09,"1","1",11.0790661292402,4
16,"salinity",2015-01-24,3,72,1,"1263","ASW","15","24",1,60769.25,19.09,"1","1",11.0145249949442,4
