Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
1,temperature,2015-01-15,0,0,A,156-4,ASW,21,ASW21,1,23384.81,15.91
2,temperature,2015-01-15,0,0,A,156-4,ASW,15,ASW15,1,11855.12,15.91
3,temperature,2015-01-15,0,0,A,156-4,WC,21,WC21,1,18018.8,15.91
4,temperature,2015-01-15,0,0,A,156-4,WC,15,WC15,1,19152.44,15.91
5,temperature,2015-01-15,0,0,A,156-4,ASW,21,ASW21,2,15406.95,15.91
6,temperature,2015-01-15,0,0,A,156-4,ASW,15,ASW15,2,19035.46,15.91
7,temperature,2015-01-15,0,0,A,156-4,WC,21,WC21,2,17451.15,15.91
8,temperature,2015-01-15,0,0,A,156-4,WC,15,WC15,2,20235.9,15.91
9,temperature,2015-01-15,0,0,A,156-4,ASW,21,ASW21,3,15221.06,15.91
10,temperature,2015-01-15,0,0,A,156-4,ASW,15,ASW15,3,15792.96,15.91
11,temperature,2015-01-15,0,0,A,156-4,WC,21,WC21,3,18144.75,15.91
12,temperature,2015-01-15,0,0,A,156-4,WC,15,WC15,3,14156.59,15.91
13,temperature,2015-01-15,0,0,A,168-16,ASW,21,ASW21,1,12177.5,15.91
14,temperature,2015-01-15,0,0,A,168-16,ASW,15,ASW15,1,15899.36,15.91
15,temperature,2015-01-15,0,0,A,168-16,WC,21,WC21,1,15241.55,15.91
16,temperature,2015-01-15,0,0,A,168-16,WC,15,WC15,1,14865.81,15.91
17,temperature,2015-01-15,0,0,A,168-16,ASW,21,ASW21,2,15976.05,15.91
18,temperature,2015-01-15,0,0,A,168-16,ASW,15,ASW15,2,13501.73,15.91
19,temperature,2015-01-15,0,0,A,168-16,WC,21,WC21,2,9402.56,15.91
20,temperature,2015-01-15,0,0,A,168-16,WC,15,WC15,2,12200.11,15.91
21,temperature,2015-01-15,0,0,A,168-16,ASW,21,ASW21,3,16788.85,15.91
22,temperature,2015-01-15,0,0,A,168-16,ASW,15,ASW15,3,14011.4,15.91
23,temperature,2015-01-15,0,0,A,168-16,WC,21,WC21,3,7477.26,15.91
24,temperature,2015-01-15,0,0,A,168-16,WC,15,WC15,3,14222.04,15.91
1,temperature,2015-01-16,1,24,A,156-4,ASW,21,ASW21,1,14945.3,16.2
2,temperature,2015-01-16,1,24,A,156-4,ASW,15,ASW15,1,5245.93,16.2
3,temperature,2015-01-16,1,24,A,156-4,WC,21,WC21,1,12629.67,16.2
4,temperature,2015-01-16,1,24,A,156-4,WC,15,WC15,1,6243.96,16.2
5,temperature,2015-01-16,1,24,A,156-4,ASW,21,ASW21,2,14287.22,16.2
6,temperature,2015-01-16,1,24,A,156-4,ASW,15,ASW15,2,7253.12,16.2
7,temperature,2015-01-16,1,24,A,156-4,WC,21,WC21,2,11560.92,16.2
8,temperature,2015-01-16,1,24,A,156-4,WC,15,WC15,2,7336.4,16.2
9,temperature,2015-01-16,1,24,A,156-4,ASW,21,ASW21,3,12739.62,16.2
10,temperature,2015-01-16,1,24,A,156-4,ASW,15,ASW15,3,9433.57,16.2
11,temperature,2015-01-16,1,24,A,156-4,WC,21,WC21,3,14759.78,16.2
12,temperature,2015-01-16,1,24,A,156-4,WC,15,WC15,3,9014.64,16.2
13,temperature,2015-01-16,1,24,A,168-16,ASW,21,ASW21,1,17839.11,16.2
14,temperature,2015-01-16,1,24,A,168-16,ASW,15,ASW15,1,12183.93,16.2
15,temperature,2015-01-16,1,24,A,168-16,WC,21,WC21,1,15342.48,16.2
16,temperature,2015-01-16,1,24,A,168-16,WC,15,WC15,1,12176.39,16.2
17,temperature,2015-01-16,1,24,A,168-16,ASW,21,ASW21,2,17974.81,16.2
18,temperature,2015-01-16,1,24,A,168-16,ASW,15,ASW15,2,13715.76,16.2
19,temperature,2015-01-16,1,24,A,168-16,WC,21,WC21,2,12649.21,16.2
20,temperature,2015-01-16,1,24,A,168-16,WC,15,WC15,2,10126.71,16.2
21,temperature,2015-01-16,1,24,A,168-16,ASW,21,ASW21,3,17931.95,16.2
22,temperature,2015-01-16,1,24,A,168-16,ASW,15,ASW15,3,13645.6,16.2
23,temperature,2015-01-16,1,24,A,168-16,WC,21,WC21,3,9117.17,16.2
24,temperature,2015-01-16,1,24,A,168-16,WC,15,WC15,3,14758.3,16.2
1,temperature,2015-01-17,2,48,A,156-4,ASW,21,ASW21,1,35173.98,15.85
2,temperature,2015-01-17,2,48,A,156-4,ASW,15,ASW15,1,13211.97,15.85
3,temperature,2015-01-17,2,48,A,156-4,WC,21,WC21,1,24697.88,15.85
4,temperature,2015-01-17,2,48,A,156-4,WC,15,WC15,1,13567.52,15.85
5,temperature,2015-01-17,2,48,A,156-4,ASW,21,ASW21,2,23667.79,15.85
6,temperature,2015-01-17,2,48,A,156-4,ASW,15,ASW15,2,19464.08,15.85
7,temperature,2015-01-17,2,48,A,156-4,WC,21,WC21,2,27762.73,15.85
8,temperature,2015-01-17,2,48,A,156-4,WC,15,WC15,2,19031.38,15.85
